session,id,start,end,last_interaction,started_by,context,final_summary,channel,active,busy,multi_message,experience,human_mode,thread_id,assistant_id,agent_id,csat,current_agent,agent_input_thread,contact_id,tenant_id
076a7f2c-f9aa-4f11-8c8c-844526aa6d6a,076a7f2c-f9aa-4f11-8c8c-844526aa6d6a,2026-03-12 23:02:20.701941+00:00,2026-03-12 23:07:28.384831+00:00,2026-03-12 23:02:28.309575+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,6fcfe53c-1de8-48f1-b812-4035b1fd6016,1
c7ab13e0-2823-4e34-a1ec-9723f680cb48,c7ab13e0-2823-4e34-a1ec-9723f680cb48,2026-03-12 23:03:21.717313+00:00,2026-03-12 23:08:21.802220+00:00,2026-03-12 23:03:21.722098+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
61144d28-81b1-4514-bbfa-89afd8a68fa4,61144d28-81b1-4514-bbfa-89afd8a68fa4,2026-03-12 23:07:30.778377+00:00,2026-03-12 23:12:30.972280+00:00,2026-03-12 23:07:30.826262+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,6fcfe53c-1de8-48f1-b812-4035b1fd6016,1
852841eb-311d-4279-a6e0-1a41d524f21e,852841eb-311d-4279-a6e0-1a41d524f21e,2026-03-12 23:08:16.746040+00:00,2026-03-12 23:13:16.852866+00:00,2026-03-12 23:08:16.760725+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,f9e15981-4a53-47d6-a1bc-1ef5096003cb,1
9cce8e99-d37e-42e7-878a-a314297d0030,9cce8e99-d37e-42e7-878a-a314297d0030,2026-03-12 23:08:23.663247+00:00,2026-03-12 23:13:23.792325+00:00,2026-03-12 23:08:23.694938+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
af84616f-7f86-4f7c-a092-118d8ae02a94,af84616f-7f86-4f7c-a092-118d8ae02a94,2026-03-12 23:11:40.755344+00:00,2026-03-12 23:16:40.926661+00:00,2026-03-12 23:11:40.791865+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,544eeef0-9687-4094-830d-ed15fbaa5063,1
2166787e-986b-4785-bc4f-b43c5f05b86e,2166787e-986b-4785-bc4f-b43c5f05b86e,2026-03-12 23:12:32.758692+00:00,2026-03-12 23:17:32.958990+00:00,2026-03-12 23:12:32.806596+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,6fcfe53c-1de8-48f1-b812-4035b1fd6016,1
3337ec51-1880-4bdd-b015-2f37a00e95d6,3337ec51-1880-4bdd-b015-2f37a00e95d6,2026-03-12 23:13:18.759834+00:00,2026-03-12 23:18:18.917968+00:00,2026-03-12 23:13:18.792567+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,f9e15981-4a53-47d6-a1bc-1ef5096003cb,1
4e540416-2f3a-435e-891d-1e90f1d705c4,4e540416-2f3a-435e-891d-1e90f1d705c4,2026-03-12 23:13:28.735980+00:00,2026-03-12 23:18:28.858504+00:00,2026-03-12 23:13:28.758275+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
4d550d13-9d14-415a-aa6e-fdd245cd8a93,4d550d13-9d14-415a-aa6e-fdd245cd8a93,2026-03-12 23:17:34.764243+00:00,2026-03-12 23:22:34.980251+00:00,2026-03-12 23:17:34.829007+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,6fcfe53c-1de8-48f1-b812-4035b1fd6016,1
